Name1,Name2,Co-mentions,Average Sentiment
Vladimir Putin,Irene Kasner,8,0.0782480750200745
Vladimir Putin,Helmut Kohl,8,0.0782480750200745
Vladimir Putin,Antti Rinne,8,0.0782480750200745
Vladimir Putin,Tedros Adhanom Ghebreyesus,8,0.0782480750200745
Vladimir Putin,Theresa May,10,0.065609493697825
Vladimir Putin,Ulrich Merkel,8,0.0782480750200745
Vladimir Putin,Armin Laschet,8,0.0782480750200745
Vladimir Putin,CNNAngela Merkel,8,0.0782480750200745
Vladimir Putin,Joachim Sauer,8,0.0782480750200745
Vladimir Putin,Horst Kasner,8,0.0782480750200745
Vladimir Putin,Horst Seehofer,14,0.0452828505395408
Vladimir Putin,Karl Vick,8,0.0782480750200745
Vladimir Putin,Volker Bouffier,8,0.0782480750200745
Vladimir Putin,Kara Fox,6,0.0036527367400383
Vladimir Putin,John Kirby,6,0.0283785846753761
Vladimir Putin,Oleg Ignatov,6,0.0825335243616205
Vladimir Putin,Roman Protasevich,16,0.0250084017406065
Vladimir Putin,Sofia Sapega,8,0.0050367866117069
Vladimir Putin,Stephanie Halasz,8,0.0232284213072154
Vladimir Putin,Heiko Maas,6,0.0188530518769374
Vladimir Putin,Anna Popova,6,-0.0275284324728769
Vladimir Putin,Bashar al-Assad,6,0.0240639813725714
Vladimir Putin,Allegra Goodwin,6,0.0339087115346939
Vladimir Putin,Vladimir Makei,10,0.0115354826517482
Vladimir Putin,Andrzej Duda,6,0.0155882655231832
Vladimir Putin,Antonia Mortensen,14,-0.0036361327372441
Vladimir Putin,Magda Chodownik,6,0.0039007143054274
Anton Siluanov,Vladimir Lenin,5,-0.0054444444444444
Anton Siluanov,MoreKristalina Georgieva,5,-0.0054444444444444
Anton Siluanov,Vladimir Potanin,5,-0.0054444444444444
Vladimir Lenin,MoreKristalina Georgieva,5,-0.0054444444444444
Vladimir Lenin,Vladimir Potanin,5,-0.0054444444444444
MoreKristalina Georgieva,Vladimir Potanin,5,-0.0054444444444444
Liz Truss,Boris Johnson,12,0.0573691682125503
Liz Truss,Boris Johnson's,8,0.0482975636793782
Liz Truss,Keir Starmer,6,0.0556793897301424
Donald Trump,Mohammad Ali Chamiani,5,0.0970398178210678
Donald Trump,Navid Afkari,5,0.0970398178210678
Donald Trump,Hassan Torkman,5,0.0970398178210678
Donald Trump,Ali Chamiani's,5,0.0970398178210678
Donald Trump,Dana White,5,0.0970398178210678
Donald Trump,Masih Alinejad,5,0.0970398178210678
Donald Trump,Bobby Green,5,0.0970398178210678
Donald Trump,Alan Patrick,5,0.0970398178210678
