,Name1,Name2,Co-mentions,Average Sentiment
525,Vladimir Putin,Kara Fox,6,0.0036527367400383
538,Vladimir Putin,John Kirby,6,0.0283785846753761
548,Vladimir Putin,Oleg Ignatov,6,0.0825335243616205
557,Vladimir Putin,Roman Protasevich,16,0.0250084017406065
570,Vladimir Putin,Sofia Sapega,8,0.0050367866117069
572,Vladimir Putin,Stephanie Halasz,8,0.0232284213072154
578,Vladimir Putin,Heiko Maas,6,0.0188530518769374
600,Vladimir Putin,Anna Popova,6,-0.0275284324728769
608,Vladimir Putin,Bashar alAssad,6,0.0240639813725714
694,Vladimir Putin,Allegra Goodwin,6,0.0339087115346939
722,Vladimir Putin,Vladimir Makei,10,0.0115354826517482
726,Vladimir Putin,Andrzej Duda,6,0.0155882655231832
729,Vladimir Putin,Antonia Mortensen,14,-0.0036361327372441
734,Vladimir Putin,Magda Chodownik,6,0.0039007143054274
878,Liz Truss,Boris Johnson,12,0.0573691682125503
880,Liz Truss,Boris Johnsons,8,0.0482975636793782
889,Liz Truss,Keir Starmer,6,0.0556793897301424
966,Donald Trump,Nancy Pelosi,24,0.0720931209336224
967,Donald Trump,Mitch McConnell,22,0.0424125359241527
970,Donald Trump,Liz Cheney,12,0.0432580982086903
973,Donald Trump,Joe Biden,152,0.0619859880839054
974,Donald Trump,Paul Gosar,16,0.0056229655618782
978,Donald Trump,Kari Lake,8,0.0380544975067015
979,Donald Trump,Marjorie Taylor Greene,20,0.052598977834156
980,Donald Trump,Emily Rainey,8,-0.0242280384277046
982,Donald Trump,Ron Johnson,12,0.0886115213453729
983,Donald Trump,Barack Obama,76,0.0516408580670351
984,Donald Trump,Mo Brooks,20,0.0516498022361526
985,Donald Trump,Rudy Giuliani,28,0.0585667658617861
986,Donald Trump,John Sullivan,10,0.0325469963728221
987,Donald Trump,Ken Paxton,18,0.1035608561145013
991,Donald Trump,Christopher Wray,8,0.0407894990910356
992,Donald Trump,Matt Gaetz,8,0.0264129194175298
993,Donald Trump,Sarah Palin,6,0.0772914217224326
994,Donald Trump,JD Vance,8,0.1369116362348005
995,Donald Trump,Sarah Godlewski,6,0.1397410041756054
999,Donald Trump,Chuck Morse,6,0.128012507460937
1000,Donald Trump,Allen West,6,0.1455187416063033
1002,Donald Trump,Peter Thiel,8,0.1369116362348005
1003,Donald Trump,Tom Suozzi,6,0.1083138988787538
1005,Donald Trump,Sam Brown,6,0.128012507460937
1006,Donald Trump,Jessica Cisneros,8,0.1457990334607312
1011,Donald Trump,Eva Guzman,8,0.1457990334607312
1018,Donald Trump,Mike Gibbons,6,0.1397410041756054
1028,Donald Trump,John Fetterman,6,0.128012507460937
1030,Donald Trump,Vicky Hartzler,8,0.1279170042220763
1032,Donald Trump,Josh Mandel,6,0.128012507460937
1034,Donald Trump,David McCormick,6,0.128012507460937
1039,Donald Trump,Mandela Barnes,8,0.1369116362348005
1041,Donald Trump,Kevin McCarthy,10,0.1271888419522941
1048,Donald Trump,Eric Greitens,12,0.1031664360189402
1050,Donald Trump,Mike Garcia,6,0.1182138260857242
1052,Donald Trump,Devin Nunes,16,0.0990293758261424
1057,Donald Trump,Marjorie K Eastman,6,0.128012507460937
1062,Donald Trump,Val Demings,6,0.128012507460937
1066,Donald Trump,Jim Lamon,8,0.1369116362348005
1070,Donald Trump,Kelly Tshibaka,6,0.1277481614919732
1071,Donald Trump,George P Bush,10,0.1446250853544436
1077,Donald Trump,Adam Laxalt,6,0.128012507460937
1079,Donald Trump,Alex Lasry,8,0.1369116362348005
1083,Donald Trump,Quaye Quartey,6,0.1182138260857242
1088,Donald Trump,Mark Kelly,10,0.0970390641410032
1089,Donald Trump,Blake Masters,6,0.128012507460937
1090,Donald Trump,Eric Schmitt,6,0.128012507460937
1100,Donald Trump,Doug Mastriano,8,0.1008762024234078
1102,Donald Trump,Marco Rubio,12,0.0963304195021228
1104,Donald Trump,Greg Abbott,18,0.0892505412739729
1106,Donald Trump,Kevin Smith,6,0.128012507460937
1108,Donald Trump,Jon Ossoff,8,0.0901055176946264
1113,Donald Trump,Don Huffines,6,0.1455187416063033
1115,Donald Trump,Lisa Murkowski,10,0.0946738409926471
1118,Donald Trump,Tim Ryan,6,0.128012507460937
1120,Donald Trump,Mark Finchem,6,0.1217965825153942
1121,Donald Trump,Mark Brnovich,10,0.1063856684212034
1134,Donald Trump,Richard Burr,6,0.128012507460937
1135,Donald Trump,Maggie Hassan,6,0.128012507460937
1136,Donald Trump,Sherrod Brown,6,0.128012507460937
1140,Donald Trump,Madison Cawthorn,18,0.085511787067968
1142,Donald Trump,Tom Perez,8,0.0277142640207641
1143,Donald Trump,Josh Hawley,10,0.0548668976879755
1150,Donald Trump,Mehmet Oz,8,0.1369116362348005
1158,Donald Trump,Raphael Warnock,16,0.1039758917707234
1161,Donald Trump,Brad Raffensperger,8,0.1008762024234078
1162,Donald Trump,Stacey Abrams,8,0.1008762024234078
1166,Donald Trump,Louie Gohmert,8,0.1457990334607312
1167,Donald Trump,Ted Budd,6,0.128012507460937
1169,Donald Trump,Van Taylor,6,0.1340846329981466
1171,Donald Trump,Chris Sununu,6,0.128012507460937
1175,Donald Trump,Rudy Salas,6,0.1182138260857242
1181,Donald Trump,Kamala Harris,14,0.1040541963088525
1184,Donald Trump,Jeff Bartos,6,0.128012507460937
1185,Donald Trump,Billy Long,6,0.128012507460937
1187,Donald Trump,Kelly Loeffler,12,0.1367724777460439
1190,Donald Trump,David Valadao,10,0.1071674712714391
1194,Donald Trump,Tom Wolf,8,0.0906887086401957
1196,Donald Trump,Elizabeth Warren,8,0.1326693578517065
1197,Donald Trump,Catherine Cortez Masto,6,0.128012507460937
1198,Donald Trump,Pat Toomey,6,0.128012507460937
1200,Donald Trump,Andrew Cuomo,6,0.1385469356038004
1201,Donald Trump,Henry Cuellar,8,0.1457990334607312
1202,Donald Trump,Pat McCrory,10,0.0998384704355724
1204,Donald Trump,Carla Sands,6,0.128012507460937
1208,Donald Trump,Lucas Kunce,6,0.128012507460937
1211,Donald Trump,Alexandria Ocasio,7,0.1235081366751274
1214,Donald Trump,Herschel Walker,14,0.0463294688163354
1216,Donald Trump,Matt Dolan,8,0.1369116362348005
1217,Donald Trump,Mark Walker,6,0.128012507460937
1218,Donald Trump,Don Bolduc,6,0.128012507460937
1219,Donald Trump,Maggie HassanDemocratic,6,0.128012507460937
1221,Donald Trump,Katie Hobbs,8,0.1008762024234078
1223,Donald Trump,Brian Kemp,14,0.0963152867940604
1225,Donald Trump,Sean Parnell,6,0.128012507460937
1228,Donald Trump,Cheri Beasley,6,0.128012507460937
1229,Donald Trump,Conor Lamb,6,0.128012507460937
1230,Donald Trump,Christy Smith,6,0.1182138260857242
1233,Donald Trump,Jane Timken,8,0.1369116362348005
1236,Donald Trump,Ron DeSantis,18,0.0716787438410619
1238,Donald Trump,Roy Blunt,12,0.1031664360189402
1247,Donald Trump,Bill Clinton,10,0.0694505301024696
1249,Donald Trump,Barack Obamas,14,0.0971412809284765
1250,Donald Trump,George W Bush,37,0.0745099529076159
1252,Donald Trump,Chris Cillizza,8,0.1064207515794419
1260,Donald Trump,Bernie Sanders,14,0.112286985126567
1287,Donald Trump,Doug Ducey,20,0.0617367886758863
1292,Donald Trump,Ted Cruz,12,0.0862369970335319
1296,Donald Trump,Samuel Alito,6,0.0902944033326243
1299,Donald Trump,Brett Kavanaugh,10,0.1121494102223428
1302,Donald Trump,Neil Gorsuch,10,0.0579261773163497
1305,Donald Trump,Clarence Thomas,6,0.066502055364811
1306,Donald Trump,Joe Bidens,14,0.048981089318466
1310,Donald Trump,Rick Hasen,10,0.0504040780747588
1321,Donald Trump,Jackie Speier,6,0.0879110509974707
1335,Donald Trump,Robert Jones,6,0.0338935437910345
1349,Donald Trump,Susan Collins,8,0.0478206297023802
1351,Donald Trump,Mike Pence,18,0.0327920825336454
1359,Donald Trump,Jeremy Herb,6,0.0478599956398517
1369,Donald Trump,Sonia Sotomayor,10,0.0618431401870878
1379,Donald Trump,Kevin Brady,6,0.1323032835127786
1387,Donald Trump,Beto ORourke,6,0.1540816554509275
1390,Donald Trump,Michelle Vallejo,6,0.1540816554509275
